           1    -4.79997
           2    -4.74935
           3    -4.80687
           4    -4.77908
           5    -4.79274
           6    -4.77023
           7    -4.80418
           8    -4.79965
           9    -4.77578
          10    -4.79215
          11    -4.75366
          12      -4.761
          13    -4.76849
          14    -4.77253
          15    -4.77565
          16    -4.76054
          17    -4.78992
          18    -4.76459
          19    -4.77287
          20    -4.79401
           1    -4.79997
           2    -4.74935
           3    -4.80687
           4    -4.77908
           5    -4.79274
           6    -4.77023
           7    -4.80418
           8    -4.79965
           9    -4.77578
          10    -4.79215
          11    -4.75366
          12      -4.761
          13    -4.76849
          14    -4.77253
          15    -4.77565
          16    -4.76054
          17    -4.78992
          18    -4.76459
          19    -4.77287
          20    -4.79401
           1    -4.79997
           2    -4.74935
           3    -4.80687
           4    -4.77908
           5    -4.79274
           6    -4.77023
           7    -4.80418
           8    -4.79965
           9    -4.77578
          10    -4.79215
          11    -4.75366
          12      -4.761
          13    -4.76849
          14    -4.77253
          15    -4.77565
          16    -4.76054
          17    -4.78992
          18    -4.76459
          19    -4.77287
          20    -4.79401
           1    -4.79997
           2    -4.74935
           3    -4.80687
           4    -4.77908
           5    -4.79274
           6    -4.77023
           7    -4.80418
           8    -4.79965
           9    -4.77578
          10    -4.79215
          11    -4.75366
          12      -4.761
          13    -4.76849
          14    -4.77253
          15    -4.77565
          16    -4.76054
          17    -4.78992
          18    -4.76459
          19    -4.77287
          20    -4.79401
           1    -4.79997
           2    -4.74935
           3    -4.80687
           4    -4.77908
           5    -4.79274
           6    -4.77023
           7    -4.80418
           8    -4.79965
           9    -4.77578
          10    -4.79215
          11    -4.75366
          12      -4.761
          13    -4.76849
          14    -4.77253
          15    -4.77565
          16    -4.76054
          17    -4.78992
          18    -4.76459
          19    -4.77287
          20    -4.79401
           1    -4.79997
           1    -4.79997
           2    -4.74935
           3    -4.80687
           4    -4.77908
           5    -4.79274
           6    -4.77023
           7    -4.80418
           8    -4.79965
           9    -4.77578
          10    -4.79215
          11    -4.75366
          12      -4.761
          13    -4.76849
          14    -4.77253
          15    -4.77565
          16    -4.76054
          17    -4.78992
          18    -4.76459
          19    -4.77287
          20    -4.79401
