           1    -6.65919    -6.65919           0
           2    -6.65149    -6.65534  0.00271886
           3    -6.65487    -6.65518  0.00181709
           4    -6.66691    -6.65811  0.00288063
           5    -6.65662    -6.65782  0.00231989
           6    -6.66227    -6.65856  0.00204858
           7    -6.65954     -6.6587   0.0017607
           8    -6.65109    -6.65775  0.00177902
           9    -6.65245    -6.65716  0.00167596
          10    -6.66494    -6.65794  0.00167937
          11    -6.65926    -6.65806  0.00153103
          12    -6.64956    -6.65735  0.00155853
          13    -6.65779    -6.65738  0.00143901
          14    -6.65921    -6.65751  0.00134216
          15     -6.6507    -6.65706  0.00132743
          16     -6.6598    -6.65723  0.00125549
          17    -6.65951    -6.65736   0.0011888
          18    -6.66188    -6.65762  0.00114888
          19    -6.65486    -6.65747  0.00109753
          20    -6.66633    -6.65791  0.00112853
           1    -5.03912    -5.03912           0
           2    -5.02392    -5.03152  0.00537138
           3    -5.03188    -5.03164  0.00358227
           4    -5.05857    -5.03837   0.0064205
           5      -5.049     -5.0405  0.00547705
           6    -5.03805    -5.04009  0.00457935
           7    -5.00597    -5.03522  0.00598146
           8    -5.01258    -5.03239   0.0058648
           9    -5.00496    -5.02934  0.00595243
          10    -5.01812    -5.02822  0.00546195
          11    -5.05798    -5.03092  0.00559557
          12    -5.00219    -5.02853  0.00561835
          13    -4.98646    -5.02529  0.00604659
          14    -5.04761    -5.02689  0.00582093
          15    -5.01582    -5.02615  0.00547941
          16      -5.021    -5.02583  0.00514639
          17      -5.035    -5.02637  0.00487187
          18    -5.02064    -5.02605  0.00461157
          19    -5.00676    -5.02503  0.00447923
          20    -5.07405    -5.02749  0.00487985
           1   -0.355852   -0.355852           0
           2   -0.413762   -0.384807   0.0204743
           3   -0.460446    -0.41002   0.0247002
           4   -0.505162   -0.433806   0.0277037
           5   -0.453361   -0.437717   0.0224373
           6   -0.386995   -0.429263   0.0202277
           7   -0.413324   -0.426986   0.0174657
           8    -0.45013   -0.429879   0.0155203
           9   -0.413078   -0.428012   0.0139076
          10   -0.410154   -0.426226    0.012631
          11   -0.345979   -0.418931   0.0134251
          12   -0.406929   -0.417931   0.0123436
          13   -0.389034   -0.415708   0.0115925
          14   -0.366976   -0.412227    0.011275
          15   -0.346253   -0.407829   0.0113488
          16   -0.357263   -0.404669   0.0110708
          17   -0.449404     -0.4073   0.0107278
          18   -0.369729   -0.405213   0.0103328
          19   -0.413214   -0.405634  0.00979759
          20   -0.434408   -0.407073  0.00941275
