           1    0.961453    0.961453           0
           2    0.956304    0.958878  0.00182067
           3    0.958468    0.958741  0.00121892
           4    0.967064    0.960822  0.00202052
           5     0.96046     0.96075  0.00161772
           6    0.964364    0.961352  0.00145597
           7    0.961861    0.961425  0.00124978
           8    0.955562    0.960692  0.00129068
           9    0.957259     0.96031  0.00120232
          10     0.96543    0.960822   0.0011861
          11    0.961141    0.960851  0.00107863
          12    0.955763    0.960427  0.00106885
          13    0.960468     0.96043 0.000986637
          14    0.962211    0.960558 0.000924321
          15    0.956628    0.960296 0.000899063
          16    0.961607    0.960378   0.0008466
          17     0.96206    0.960477 0.000802564
          18     0.96307    0.960621 0.000770804
          19    0.958351    0.960501 0.000739432
          20    0.966111    0.960782 0.000753779
           1    0.895276    0.895276           0
           2    0.890292    0.892784  0.00176229
           3    0.893614    0.893061  0.00119637
           4    0.906589    0.896443   0.0030633
           5    0.900818    0.897318  0.00257261
           6    0.896443    0.897172  0.00214797
           7    0.880263    0.894756  0.00289679
           8    0.883219    0.893314  0.00287133
           9    0.879866     0.89182  0.00291528
          10    0.888039    0.891442  0.00264816
          11    0.905267    0.892699  0.00268917
          12    0.878721    0.891534  0.00270561
          13    0.870827    0.889941  0.00292905
          14    0.901138    0.890741  0.00282692
          15    0.885302    0.890378  0.00266161
          16    0.888092    0.890235  0.00249909
          17     0.89433    0.890476  0.00236366
          18    0.887542    0.890313  0.00223796
          19    0.879754    0.889757  0.00218809
          20    0.913503    0.890945  0.00237909
           1   0.0580729   0.0580729           0
           2   0.0600018   0.0590373 0.000681973
           3    0.061545   0.0598732 0.000820085
           4    0.063042   0.0606654 0.000921407
           5   0.0613072   0.0607938 0.000746012
           6   0.0591192   0.0605147 0.000671859
           7   0.0599892   0.0604396 0.000580058
           8   0.0612045   0.0605352  0.00051537
           9   0.0599654   0.0604719 0.000461979
          10   0.0598793   0.0604126 0.000419565
          11   0.0577615   0.0601716 0.000445297
          12   0.0597704   0.0601382 0.000409442
          13   0.0591695   0.0600637 0.000384667
          14   0.0584518   0.0599485 0.000374025
          15   0.0577628   0.0598028 0.000376406
          16   0.0581238   0.0596979 0.000367218
          17   0.0611677   0.0597843 0.000355649
          18    0.058534   0.0597149 0.000342608
          19   0.0599774   0.0597287 0.000324854
          20   0.0606675   0.0597756 0.000311985
