           1    0.800478    0.800478           0
           2    0.795461     0.79797  0.00177393
           3    0.797591    0.797843  0.00118711
           4    0.805833    0.799841  0.00194547
           5    0.799432    0.799759  0.00155809
           6    0.803375    0.800362  0.00141014
           7    0.800795    0.800424  0.00121005
           8    0.794715     0.79971  0.00125165
           9    0.796436    0.799346  0.00116423
          10    0.804351    0.799847  0.00115035
          11    0.800154    0.799875  0.00104611
          12    0.794757    0.799448  0.00104224
          13    0.799516    0.799454  0.00096208
          14    0.801288    0.799585 0.000902241
          15    0.795872    0.799337 0.000875379
          16    0.800653    0.799419 0.000824523
          17    0.800877    0.799505 0.000780467
          18     0.80202    0.799645 0.000749508
          19    0.797468     0.79953 0.000718765
          20    0.804782    0.799793 0.000729219
           1     1.10631     1.10631           0
           2     1.09831     1.10231  0.00282867
           3     1.10239     1.10234  0.00188591
           4     1.12066     1.10692  0.00421196
           5     1.11347     1.10823  0.00356739
           6     1.10664     1.10796  0.00298259
           7     1.08456     1.10462  0.00401442
           8      1.0898     1.10277  0.00391675
           9     1.08425     1.10071  0.00398557
          10     1.09436     1.10008  0.00363721
          11     1.11961     1.10185  0.00371472
          12     1.08256     1.10024  0.00373673
          13     1.07233      1.0981  0.00401927
          14     1.11303     1.09916  0.00387105
          15     1.09237     1.09871  0.00363939
          16     1.09587     1.09853  0.00341625
          17     1.10419     1.09887  0.00323146
          18     1.09467     1.09863  0.00306033
          19     1.08508     1.09792  0.00298126
          20     1.12987     1.09952  0.00323214
           1     1.16337     1.16337           0
           2     1.20195     1.18266   0.0136379
           3     1.23305     1.19946   0.0164542
           4     1.26284      1.2153   0.0184555
           5     1.22823     1.21789   0.0149445
           6      1.1841     1.21226   0.0134731
           7      1.2016     1.21073   0.0116341
           8     1.22608     1.21265   0.0103368
           9     1.20141      1.2114  0.00926344
          10     1.19951     1.21021  0.00841308
          11     1.15669     1.20535  0.00894516
          12     1.19737     1.20468  0.00822439
          13     1.18541      1.2032  0.00772416
          14     1.17076     1.20088  0.00751189
          15     1.15693     1.19795  0.00756093
          16     1.16429     1.19585  0.00737523
          17     1.22564      1.1976  0.00714655
          18     1.17255     1.19621  0.00688367
          19     1.20146     1.19649  0.00652691
          20     1.21561     1.19744  0.00627018
